mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.103159713745117,0.3812789044338165,0.6087030887603759,0.1704110758113722,500,2,2,log2,15,balanced,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 15, 'class_weight': 'balanced'}",0.9951002753983138,0.98540439881222,0.9884681329374067,1.0,0.9951347996040734,0.9928215213504028,0.005216133231299361,25
0.6685688495635986,0.03758296759784872,0.1010134220123291,0.03983768258959597,100,2,2,log2,,balanced_subsample,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'class_weight': 'balanced_subsample'}",0.9951002753983138,0.9853008261949414,0.9884681329374067,0.9951347996040734,0.9951347996040734,0.9918277667477617,0.004158613658735777,26
0.5098610401153565,0.07768770501983972,0.11316046714782715,0.045456006311248125,100,2,2,log2,,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'class_weight': None}",0.9901641568308235,0.9851897247331597,0.9884681329374067,1.0,0.9951002753983138,0.9917844579799407,0.005207757099426094,27
0.45409088134765624,0.05451521128344976,0.06343741416931152,0.009121999552305663,100,2,1,log2,10,balanced,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10, 'class_weight': 'balanced'}",0.9951002753983138,0.9756739980203667,0.9884681329374067,1.0,0.9951347996040734,0.990875441192032,0.008439525331759123,28
1.145561408996582,0.2549619276470221,0.3246027946472168,0.1185004526027364,100,2,2,log2,15,balanced,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 15, 'class_weight': 'balanced'}",0.9951002753983138,0.98540439881222,0.9884681329374067,0.9807283359914939,0.9951002753983138,0.9889602837075497,0.005586599840592977,29
1.6454763889312745,0.15221256851696108,0.12580227851867676,0.02285361454561584,400,2,4,log2,30,balanced,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 30, 'class_weight': 'balanced'}",0.9951002753983138,0.9756739980203667,0.9884681329374067,0.990302300695559,0.9951347996040734,0.9889359013311438,0.007132878540333933,30
1.747516918182373,0.13029061516914628,0.166831636428833,0.04980883014398182,300,10,1,sqrt,5,balanced_subsample,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 5, 'class_weight': 'balanced_subsample'}",0.9902356902356902,0.9951347996040734,0.9884681329374067,0.9712643678160919,0.9951347996040734,0.988047558039467,0.008798843853792227,31
1.2528025150299071,0.05106107983733892,0.13101086616516114,0.02205744000332323,200,5,4,log2,15,balanced,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 15, 'class_weight': 'balanced'}",0.9951002753983138,0.9756739980203667,0.9884681329374067,0.9855007249637519,0.9951347996040734,0.9879755861847824,0.007207109613515541,32
1.7317863941192626,0.2531933763875038,0.15410294532775878,0.040671570014330645,300,10,2,sqrt,5,balanced_subsample,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 5, 'class_weight': 'balanced_subsample'}",0.9902356902356902,0.9951347996040734,0.9884681329374067,0.9665695041417584,0.9951347996040734,0.9871085853046004,0.010604916237216181,33
1.6301488876342773,0.12892914658455407,0.15345330238342286,0.02060639070065398,200,10,1,sqrt,5,balanced_subsample,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 5, 'class_weight': 'balanced_subsample'}",0.9902356902356902,0.990302300695559,0.9836356340288924,0.9712643678160919,1.0,0.9870875985552466,0.009479088482186608,34
